<肖申克的救赎>
黄磊 Lei Huang,演员 Actor (饰 小流氓),霸王别姬,无名,海底总动员
冯远征 Yuanzheng Feng,配音 Voice,霸王别姬,天下无贼,非诚勿扰
杨立新 LiXin Yang,配音 Voice (配 程蝶衣),霸王别姬,封神第一部：朝歌风云,唐山大地震
方征 Zheng Fang,演员 Actor (饰 嫖客),霸王别姬,红楼梦,大宅门
周璞 Pu Zhou,演员 Actor,霸王别姬,谁是凶手,安家
隋永清 Yongqing Sui,演员 Actress (饰 老鸨),霸王别姬,小鱼儿与花无缺,洗澡
宋小川 Xiaochuan Song,演员 Actor,霸王别姬,大宅门,破事精英
杜广沛 Guangpei Du,演员 Actor,霸王别姬,天下无贼,茶馆
</霸王别姬>
<阿甘正传>
汤姆·汉克斯 Tom Hanks,演员 Actor/Actress (饰 Forrest Gump),阿甘正传,猫鼠游戏,拯救大兵瑞恩
罗宾·怀特 Robin Wright,演员 Actress (饰 Jenny Curran),阿甘正传,银翼杀手2049,神奇女侠
加里·西尼斯 Gary Sinise,演员 Actor (饰 Lieutenant Dan Taylor),阿甘正传,美国队长2,绿里奇迹
麦凯尔泰·威廉逊 Mykelti Williamson,演员 Actor/Actress (饰 Bubba Blue),阿甘正传,空中监狱,八月迷情
莎莉·菲尔德 Sally Field,演员 Actress (饰 Mrs. Gump),阿甘正传,超凡蜘蛛侠,超凡蜘蛛侠2
海利·乔·奥斯蒙 Haley Joel Osment,演员 Actor (饰 Forrest Junior),阿甘正传,第六感,人工智能
迈克尔·康纳·亨弗里斯 Michael Conner Humphreys,演员 Actor/Actress (饰 Young Forrest),阿甘正传,空降任务,透过阿甘看世界
哈罗德·G·赫瑟姆 Harold G. Herthum,演员 Actor/Actress (饰 Doctor),阿甘正传,球爱的天空,1999末路狂花
山姆·安德森 Sam Anderson,演员 Actor (饰 Principal),阿甘正传,老友记  第五季,成长的烦恼 第一季
伊俄涅·M·特雷奇 Ione M. Telech,演员 Actress (饰 Elderly Woman),阿甘正传
彼得·道博森 Peter Dobson,演员 Actor (饰 Young Elvis Presley),阿甘正传,犯罪现场调查 第三季,犯罪现场调查：纽约 第一季
希芳·法隆 Siobhan Fallon,演员 Actress (饰 School Bus Driver),阿甘正传,黑衣人,狗镇
伊丽莎白·汉克斯 Elizabeth Hanks,演员 Actress (饰 School Bus Girl),阿甘正传,挡不住的奇迹
汉娜·豪尔 Hanna Hall,演员 Actor/Actress (饰 Young Jenny Curran),阿甘正传,犯罪心理 第八季,处女之死
克里斯托弗·琼斯 Christopher Jones,演员 Actor (饰 Boy with Cross),阿甘正传,威尔和格蕾丝 第一季,卧底肥妈2
罗布·兰德里 Rob Landry,演员 Actor (饰 Red Headed Teen),阿甘正传
杰森·麦克奎尔 Jason McGuire,演员 Actor (饰 Fat Teen),阿甘正传,宠物坟场2,天降神迹
桑尼·施罗耶 Sonny Shroyer,演员 Actor (饰 College Football Coach),阿甘正传,造雨人,留级之王3
艾德·戴维斯 Ed Davis,演员 Actor (饰 High School Football Coach),阿甘正传
丹尼尔C.斯瑞派克 Daniel C. Striepeke,演员 Actor (饰 Recruiter),阿甘正传,绿里奇迹,荒岛余生
大卫·布里斯宾 David Brisbin,演员 Actor (饰 Newscaster),阿甘正传,永不妥协,离开拉斯维加斯
德博拉·麦克蒂尔 Deborah McTeer,演员 Actress (饰 Woman with Child on Park Bench),阿甘正传,真情电波
艾尔·哈林顿 Al Harrington,演员 Actor (饰 Local Anchor #1),阿甘正传,实习医生风云 第一季,夏威夷特勤组 第四季
阿非莫·奥米拉 Afemo Omilami,演员 Actor/Actress (饰 Drill Sergeant),阿甘正传,弱点,饥饿游戏2：星火燎原
约翰·沃德斯塔德 John Voldstad,演员 Actor (饰 Club Patron),阿甘正传,查理的天使 第一季,人民公敌
迈克尔·伯吉斯 Michael Burgess,演员 Actor (饰 Cleveland),阿甘正传,毒液：致命守护者,非法制裁
埃里克·安德伍德 Eric Underwood,演员 Actor (饰 Mail Call Soldier),阿甘正传
拜伦·明斯 Byron Minns,演员 Actor (饰 Wounded Soldier),阿甘正传,生于七月四日,终极斗士
斯蒂芬·布吉格沃特 Stephen Bridgewater,演员 Actor (饰 Hospital Officer),阿甘正传,十二猴子,21克
约翰·威廉·高尔特 John William Galt,配音 Voice (配 President Johnson),阿甘正传,幸运狗,天降神犬2
希拉里·沙普兰 Hilary Chaplain,演员 Actress (饰 Hilary),阿甘正传,法律与秩序：犯罪倾向 第一季
伊莎贝尔·罗斯 Isabel Rose,演员 Actress (饰 Isabel),阿甘正传,严肃的月光,标准时间
理查德·达历山德罗 Richard D&#39;Alessandro,演员 Actor (饰 Abbie Hoffman),阿甘正传,黑道家族 第一季,现代爱情故事
迪克·史迪威 Dick Stilwell,演员 Actor (饰 Policeman at War Rally),阿甘正传,洛城机密,火线 第一季
迈克尔-杰斯 Michael Jace,演员 Actor (饰 Black Panther),阿甘正传,神盾局特工 第一季,决战猩球
杰弗里·布莱克 Geoffrey Blake,演员 Actor (饰 Wesley),阿甘正传,荒岛余生,决战中途岛
瓦妮莎·罗斯 Vanessa Roth,演员 Actress (饰 Hollywood Boulevard Girlfriend),阿甘正传,天命之女,保险被拒
迪克·卡维特 Dick Cavett,演员 Actor (饰 Dick Cavett),阿甘正传,安妮·霍尔,绯闻女孩  第五季
马拉·苏查雷特扎 Marla Sucharetza,演员 Actor/Actress (饰 Lenore),阿甘正传,保姆日记,远大前程
乔·阿拉斯奇 Joe Alaskey,配音 Voice (配 President Nixon),阿甘正传,神奇四侠,Q版猫和老鼠
W·本森·泰瑞 W. Benson Terry,演员 Actor (饰 Stanley Loomis),阿甘正传,法律与秩序 第一季,可怜的爸爸
约翰·列侬 John Lennon,自己 Self,阿甘正传,约翰·列侬的理想世界,一夜狂欢
埃尔维斯·普雷斯利 Elvis Presley,自己 Self,阿甘正传,致命女人 第一季,大鱼
罗纳德·里根 Ronald Reagan,自己 Self (Assassination Attempt),阿甘正传,虎胆龙威4,铁娘子：坚固柔情
鲍勃·霍普 Bob Hope,自己 Self (in Vietnam),阿甘正传,辛普森一家 第四季,风流市长
约翰·肯尼迪 John F. Kennedy,自己 Self,阿甘正传,相助,虎胆龙威4
理查德·尼克松 Richard Nixon,自己 Self,阿甘正传,虎胆龙威4,广告狂人 第七季
吴俊全 Junquan Wu,配音 Voice,阿甘正传,闻香识女人,长安三万里
蒂莫西·麦克尼尔 Timothy McNeil,演员 Actor (饰 Wild Eyed Man),阿甘正传,超时空接触,任何事物
杰拉尔德·福特 Gerald Ford,自己 Self (Assassination Attempt),阿甘正传,白宫管家,总统班底
布雷特·赖斯 Brett Rice,演员 Actor,阿甘正传,剪刀手爱德华,萨利机长
</阿甘正传>
<泰坦尼克号>
莱昂纳多·迪卡普里奥 Leonardo DiCaprio,演员 Actor (饰 杰克 Jack Dawson),泰坦尼克号,盗梦空间,猫鼠游戏
凯特·温丝莱特 Kate Winslet,演员 Actress (饰 罗丝 Rose DeWitt Bukater),泰坦尼克号,阿凡达：水之道,朗读者
比利·赞恩 Billy Zane,演员 Actor (饰 卡尔 Caledon &#39;Cal&#39; Hockley),泰坦尼克号,回到未来,黑袍纠察队 第一季
凯西·贝茨 Kathy Bates,演员 Actress (饰 莫莉 Molly Brown),泰坦尼克号,午夜巴黎,弱点
弗兰西丝·费舍 Frances Fisher,演员 Actress (饰 鲁丝 Ruth Dewitt Bukater),泰坦尼克号,不可饶恕,极速60秒
格劳瑞亚·斯图尔特 Gloria Stuart,演员 Actress (饰 老年罗斯 Old Rose),泰坦尼克号,百万美元酒店,可怜的富家小姑娘
